timestamp,queue,policy,payload_size,capacity,producers,consumers,push_ops,pop_ops,warmup_ops,throughput,push_avg_ns,push_p50_ns,push_p95_ns,push_p999_ns,push_min_ns,push_max_ns,pop_avg_ns,pop_p50_ns,pop_p95_ns,pop_p999_ns,pop_min_ns,pop_max_ns
2026-05-02 18:42:39,MPSC,Try,16,256,2,1,100000,100000,200000,2.14539e+07,122.858,92,277,3230,0,51030,72.2157,92,93,277,0,70408
2026-05-02 18:42:39,MPSC,Blocking,16,256,2,1,100000,100000,200000,2.71819e+07,122.282,92,185,369,0,47246,50.7145,92,93,185,0,28237
2026-05-02 18:42:39,Mutex,Baseline,16,256,2,1,100000,100000,200000,130010,22671.2,98,104078,180514,0,801146,200.722,98,394,28232,0,683099
2026-05-02 18:42:39,MPSC,Try,16,256,4,1,100000,100000,200000,1.47657e+07,484.187,295,1377,4033,0,146969,104.289,98,197,296,0,42301
2026-05-02 18:42:39,MPSC,Blocking,16,256,4,1,100000,100000,200000,1.75345e+07,416.883,393,787,1672,0,112145,75.0552,98,197,295,0,27741
2026-05-02 18:42:39,Mutex,Baseline,16,256,4,1,100000,100000,200000,95322.2,57009,98,268071,2568367,0,11583017,215.237,98,392,31988,0,545956
2026-05-02 18:42:39,MPSC,Try,16,256,8,1,100000,100000,200000,1.44146e+07,843.578,392,3042,15307,0,383268,99.229,98,197,393,0,19035
2026-05-02 18:42:39,MPSC,Blocking,16,256,8,1,100000,100000,200000,1.8054e+07,753.135,589,1668,13246,0,394552,67.2573,98,196,295,0,16485
2026-05-02 18:42:39,Mutex,Baseline,16,256,8,1,100000,100000,200000,38057.1,336804,195946,957439,5444037,0,15998953,191.474,99,298,10417,0,132603
2026-05-02 18:42:39,MPSC,Try,16,256,2,1,1000000,1000000,200000,1.85715e+07,183.569,99,496,2282,0,723365,76.5397,99,198,297,0,718007
2026-05-02 18:42:39,MPSC,Blocking,16,256,2,1,1000000,1000000,200000,2.54957e+07,125.795,99,199,397,0,76791,55.0226,99,100,199,0,50896
2026-05-02 18:42:39,Mutex,Baseline,16,256,2,1,1000000,1000000,200000,138540,21239.5,98,110715,184842,0,849535,223.615,93,396,35357,0,879647
2026-05-02 18:42:39,MPSC,Try,16,256,4,1,1000000,1000000,200000,1.40177e+07,539.704,295,1667,5786,0,700379,108.005,98,196,392,0,733623
2026-05-02 18:42:39,MPSC,Blocking,16,256,4,1,1000000,1000000,200000,1.81563e+07,391.73,295,785,2353,0,709597,70.257,98,196,294,0,125032
2026-05-02 18:42:39,Mutex,Baseline,16,256,4,1,1000000,1000000,200000,79533.8,68267.7,99,280940,3078733,0,15711881,213.676,98,298,23117,0,856573
2026-05-02 18:42:39,MPSC,Try,16,256,8,1,1000000,1000000,200000,1.27355e+07,1092.84,491,4022,17265,0,722882,120.64,98,294,491,0,221701
2026-05-02 18:42:39,MPSC,Blocking,16,256,8,1,1000000,1000000,200000,1.93422e+07,715.406,588,1668,12556,0,969794,59.1555,98,99,294,0,204730
2026-05-02 18:42:39,Mutex,Baseline,16,256,8,1,1000000,1000000,200000,43918.1,293898,235678,813991,4529750,0,15155550,154.736,99,199,1489,0,659439
2026-05-02 18:42:39,MPSC,Try,16,256,2,1,5000000,5000000,200000,2.46488e+07,137.447,93,372,1767,0,265534,60.5476,93,93,186,0,274741
2026-05-02 18:42:39,MPSC,Blocking,16,256,2,1,5000000,5000000,200000,2.88821e+07,114.641,93,186,372,0,707408,47.7824,0,93,186,0,306550
2026-05-02 18:42:39,Mutex,Baseline,16,256,2,1,5000000,5000000,200000,137893,21307.5,98,101648,189399,0,2214137,204.014,93,392,30013,0,1116620
2026-05-02 18:42:39,MPSC,Try,16,256,4,1,5000000,5000000,200000,1.50864e+07,462.808,294,1471,6570,0,1119472,95.6635,98,196,295,0,692059
